,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
0,151.229996,151.229996,2016-04-13,151.229996,149.630005,150.75,IBM,3126500
1,149.630005,149.630005,2016-04-12,150.110001,148.580002,149.610001,IBM,3507100
2,149.25,149.25,2016-04-11,151.949997,149.220001,150.259995,IBM,3829400
3,149.350006,149.350006,2016-04-08,149.990005,148.119995,149.059998,IBM,3280800
4,148.25,148.25,2016-04-07,149.600006,148.00,149.070007,IBM,3606000
5,150.020004,150.020004,2016-04-06,150.149994,147.809998,149.899994,IBM,4152300
6,150.00,150.00,2016-04-05,151.600006,149.649994,151.429993,IBM,3313300
7,152.070007,152.070007,2016-04-04,153.520004,151.910004,152.339996,IBM,3904500
8,152.520004,152.520004,2016-04-01,152.960007,150.25,150.509995,IBM,3902200
9,151.449997,151.449997,2016-03-31,153.100006,149.360001,149.789993,IBM,6743300
10,148.410004,148.410004,2016-03-30,150.410004,148.320007,149.949997,IBM,3301100
11,149.330002,149.330002,2016-03-29,149.759995,147.50,147.589996,IBM,3116400
12,148.399994,148.399994,2016-03-28,148.649994,147.229996,147.75,IBM,3260800
13,147.949997,147.949997,2016-03-24,148.220001,144.490005,144.979996,IBM,5042700
14,145.399994,145.399994,2016-03-23,148.029999,145.130005,148.00,IBM,4753800
15,148.100006,148.100006,2016-03-22,149.279999,147.839996,148.059998,IBM,4054600
16,148.630005,148.630005,2016-03-21,148.710007,146.720001,147.300003,IBM,3425200
17,147.089996,147.089996,2016-03-18,147.509995,145.509995,147.399994,IBM,11997700
18,147.039993,147.039993,2016-03-17,147.320007,144.449997,144.779999,IBM,5819100
19,144.789993,144.789993,2016-03-16,144.880005,142.110001,142.619995,IBM,4192800
20,142.960007,142.960007,2016-03-15,143.330002,141.539993,141.740005,IBM,3647800
21,142.779999,142.779999,2016-03-14,143.190002,141.039993,142.009995,IBM,4043100
22,142.360001,142.360001,2016-03-11,142.919998,140.509995,141.729996,IBM,4350000
23,140.190002,140.190002,2016-03-10,141.470001,138.089996,141.240005,IBM,4009600
24,140.410004,140.410004,2016-03-09,142.169998,139.229996,139.309998,IBM,4378000
25,139.070007,139.070007,2016-03-08,140.350006,137.419998,139.710007,IBM,5537900
26,140.149994,140.149994,2016-03-07,140.509995,136.869995,137.279999,IBM,5142400
27,137.800003,137.800003,2016-03-04,139.419998,137.020004,137.539993,IBM,3945100
28,137.800003,137.800003,2016-03-03,137.960007,136.070007,137.220001,IBM,5141200
29,136.300003,136.300003,2016-03-02,137.440002,133.220001,133.699997,IBM,5163000
30,134.369995,134.369995,2016-03-01,134.639999,132.029999,132.240005,IBM,3781100
31,131.029999,131.029999,2016-02-29,133.360001,130.899994,132.00,IBM,4253300
32,132.029999,132.029999,2016-02-26,134.919998,131.949997,134.509995,IBM,4382900
33,134.50,134.50,2016-02-25,134.509995,130.880005,133.289993,IBM,4353600
34,132.800003,132.800003,2016-02-24,133.490005,129.679993,131.550003,IBM,4079800
35,132.399994,132.399994,2016-02-23,133.410004,132.009995,133.139999,IBM,3366800
36,133.770004,133.770004,2016-02-22,134.309998,132.410004,133.080002,IBM,4440500
37,133.080002,133.080002,2016-02-19,133.649994,130.839996,132.360001,IBM,5108500
38,132.449997,132.449997,2016-02-18,134.00,129.75,130.00,IBM,9924900
39,126.099998,126.099998,2016-02-17,126.57,123.25,123.709999,IBM,4805500
40,122.739998,122.739998,2016-02-16,123.089996,121.339996,121.830002,IBM,4015600
41,121.040001,121.040001,2016-02-12,121.050003,118.349998,119.260002,IBM,4899000
42,117.849998,117.849998,2016-02-11,119.660004,116.900002,118.779999,IBM,7196100
43,120.190002,120.190002,2016-02-10,125.290001,119.839996,125.00,IBM,6435100
44,124.07,124.07,2016-02-09,126.93,123.769997,126.120003,IBM,5957200
